iter	MAE
158	23.4525435
159	23.45107774
160	23.44647947
161	23.44362328
162	23.43978747
163	23.43567326
164	23.43374484
165	23.43169028
166	23.43095958
167	23.42847225
168	23.42773482
169	23.42664865
170	23.42510011
171	23.42229466
172	23.42157608
173	23.4203609
174	23.418427
175	23.41674292
176	23.41466634
177	23.40988614
178	23.40794903
179	23.4058307
180	23.40288796
181	23.40139798
182	23.39932848
183	23.39759693
184	23.39569133
185	23.39317642
186	23.38950325
187	23.3873922
188	23.38128333
189	23.37821778
190	23.37684086
191	23.37535179
192	23.37260228
193	23.3725914
194	23.37160257
195	23.36976824
196	23.36618772
197	23.3650687
198	23.3633327
199	23.36263231
200	23.35939679
201	23.35659253
202	23.35577826
203	23.35469559
204	23.3534192
205	23.35249204
206	23.35104488
207	23.34587264
208	23.34515742
209	23.34159656
210	23.33900633
211	23.33600193
212	23.33517055
213	23.33507448
214	23.33211398
215	23.32932538
216	23.32820833
217	23.32775983
218	23.32487846
219	23.32334445
220	23.32152295
221	23.32048253
222	23.32029486
223	23.31976365
224	23.3186389
225	23.31771627
226	23.31640615
227	23.31400958
228	23.31218919
229	23.3115371
230	23.31057016
231	23.30952307
232	23.30831928
233	23.30713
234	23.30551405
235	23.30443593
236	23.30360341
237	23.30223664
238	23.29957845
239	23.29717867
240	23.29586068
241	23.29523706
242	23.29473929
243	23.29361117
244	23.2929187
245	23.28863616
246	23.28698708
247	23.28653675
248	23.28574202
249	23.28518289
250	23.28396207
251	23.28343151
252	23.28286192
253	23.28162431
254	23.28110889
255	23.28057664
256	23.27868525
257	23.27547318
258	23.27437123
259	23.27344887
260	23.27268738
261	23.27120767
262	23.27084563
263	23.26967068
264	23.26925353
265	23.26884652
266	23.26770341
267	23.26722289
268	23.26707081
269	23.2664828
270	23.26614912
271	23.26459652
272	23.26446748
273	23.26421368
274	23.26387775
275	23.2636033
276	23.26321313
277	23.26174775
278	23.26049378
279	23.25986087
280	23.25870424
281	23.25835652
282	23.25711497
283	23.25648161
284	23.25465748
285	23.25440247
286	23.25359226
287	23.2533815
288	23.25301378
289	23.25269664
290	23.2512546
291	23.24954507
292	23.24831424
293	23.24648221
294	23.24602133
295	23.24544908
296	23.24446303
297	23.24358529
298	23.24309825
299	23.24244359
300	23.24204532
301	23.24186643
302	23.24135877
303	23.24060213
304	23.24045891
305	23.24020513
306	23.23874854
307	23.23743785
308	23.23620218
309	23.23555766
310	23.23544756
311	23.23497136
312	23.23429084
313	23.23298096
314	23.23283505
315	23.23277394
316	23.23269202
317	23.23225367
318	23.23193591
319	23.23181364
320	23.23101075
321	23.23049141
322	23.22985267
323	23.22905291
324	23.22854389
325	23.22800714
326	23.22795895
327	23.22778905
328	23.2270807
329	23.2263837
330	23.22600261
331	23.22504752
332	23.22458559
333	23.22383994
334	23.22347193
335	23.22298793
336	23.22263197
337	23.22224558
338	23.22189486
339	23.22159249
340	23.2213176
341	23.2211103
342	23.22088607
343	23.22006851
344	23.21948117
345	23.21886809
346	23.21869177
347	23.21851813
348	23.21782607
349	23.21766615
350	23.21698464
351	23.21656772
352	23.21645091
353	23.21619119
354	23.21605255
355	23.21462305
356	23.21417646
357	23.21403615
358	23.21359256
359	23.21345433
360	23.21332036
361	23.21290305
362	23.21148824
363	23.21128635
364	23.2105913
365	23.21050416
366	23.21041329
367	23.21000205
368	23.20938175
369	23.20925079
370	23.2082725
371	23.20823756
372	23.20812197
373	23.20801635
374	23.20745845
375	23.20697873
376	23.20691291
377	23.20648309
378	23.20644117
379	23.20590515
380	23.20585889
381	23.2058167
382	23.20515912
383	23.20508349
384	23.20492974
385	23.2044776
386	23.2039314
387	23.20390271
388	23.20383025
389	23.20359686
390	23.20357654
391	23.20303836
392	23.20255776
393	23.20251049
394	23.20249381
395	23.20216541
396	23.20215045
397	23.20171691
398	23.20132618
399	23.20130497
400	23.2012649
401	23.20120756
402	23.20115119
403	23.20109373
404	23.20104053
405	23.20054658
406	23.2000102
407	23.19944046
408	23.19935475
409	23.1988938
410	23.19858201
411	23.19839718
412	23.1983854
413	23.19832766
414	23.19827048
415	23.19821515
416	23.19819703
417	23.19818687
418	23.19810907
419	23.1980681
420	23.19777434
421	23.19776499
422	23.1977474
423	23.1973702
424	23.19731801
425	23.19686066
426	23.19685215
427	23.19684456
428	23.19680586
429	23.19628938
430	23.19628211
431	23.19627523
432	23.19623264
433	23.19606346
434	23.19557256
435	23.19501096
436	23.19500462
437	23.19455799
438	23.19452201
439	23.19445593
440	23.19441557
441	23.19406822
442	23.19392169
443	23.19355604
444	23.19352776
445	23.19350184
446	23.19346592
447	23.19343196
448	23.19313866
449	23.19288277
450	23.1928182
451	23.19278599
452	23.1924883
453	23.19245778
454	23.19242879
455	23.19240126
456	23.19226532
457	23.19173961
458	23.19170062
459	23.1916835
460	23.19142452
461	23.19139726
462	23.19110602
463	23.19060032
464	23.19049921
465	23.18991759
466	23.18988976
467	23.18986268
468	23.18983949
469	23.18983156
470	23.18881647
471	23.18877012
472	23.18874834
473	23.1887263
474	23.18868295
475	23.18863255
476	23.18859569
477	23.18846436
478	23.18842868
479	23.18835412
480	23.18824373
481	23.18781114
482	23.18778424
483	23.18770811
484	23.18727569
485	23.18724907
486	23.18668998
487	23.18666967
488	23.18663258
489	23.18569486
490	23.18567595
491	23.18531271
492	23.18528846
493	23.18496959
494	23.18484591
495	23.18482747
496	23.18481096
497	23.18479826
498	23.18476766
499	23.18452989
