Métrica,Valor_train,Baseline_train,Valor_valid,Baseline_valid,Valor_test,Baseline_test,Mejora_train,Mejora_valid,Mejora_test
RMSE,51.103792571561996,79.1503796341603,38.68901462940643,68.39405824434715,46.003612599970324,74.94440586186194,28.046587062598306,29.70504361494072,28.940793261891613
MAE,26.140177741984214,50.899990604296285,22.56227966666596,46.84615708925222,26.363911164117642,51.696911982292214,24.75981286231207,24.28387742258626,25.333000818174572
R2,0.5831303680405244,0.0,0.6800083912203543,0.0,0.6232047379802813,0.0,-0.5831303680405244,-0.6800083912203543,-0.6232047379802813
